pair,modelo,dAICc,df,weight,dev.expl,Moran I statistic,p-value
area,gi,0,413.3934156263974,1,0.9540966887539464,0.35891200513769606,8.222269934292708e-10
area,gi - p * k,183.44608901617357,497.9274299303424,1.4628099534837823e-40,0.9559838656444408,0.3589120051376895,8.22226993429447e-10
area,gs,590.9791436914275,480.3168534967501,4.6828418124151756e-129,0.9452559040688796,0.25242370030180633,8.060434666290624e-6
area,gs - p*k,695.7028705283865,573.0213634106117,8.512186740878524e-152,0.9506507656161436,0.23572447686960885,2.5984057731444185e-5
area,p * k + 1|Site,1208.216801836802,120.93910105948892,4.355670411209266e-263,0.884369930836307,0.35891200513769117,8.222269934293658e-10
area,p + k + 1|Site,3851.643648664327,81.2787623420838,0,0.5857373639211652,0.3589120054341255,8.222269736948044e-10
frag.perse,gi,0,515.4338239784852,0.6008281746097417,0.9744513980147422,-0.01417542018104234,0.5309438276501853
frag.perse,gi - p * k,0.8178340604790719,520.2371431450723,0.3991718253902583,0.9746406838451828,-0.01417542019922363,0.5309438277685813
frag.perse,gs - p*k,522.806698277218,554.7730669835888,1.789444395752882e-114,0.9694472584464284,0.0252331380017423,0.2839578080037949
frag.perse,gs,523.5039978294708,542.9057145725334,1.2627039353970412e-114,0.9688174644282918,0.02999533223531212,0.25799985554267335
frag.perse,p * k + 1|Site,4180.630171443652,123.43424425975158,0,0.6991513115943765,-0.01417634372387608,0.5309498416557629
frag.perse,p + k + 1|Site,4551.179275389108,110.05304992079776,0,0.6372335301172634,-0.01417568501042836,0.5309455521897056
frag.total,gi - p * k,0,553.2446030520106,0.9805175625779248,0.9794401525739768,0.0045615745866075,0.4092851784412296
frag.total,gi,7.837134285223328,509.34050167212774,0.01948243742207517,0.977809109257158,0.00456157457425371,0.40928517852002394
frag.total,gs,424.3621140901023,515.550833513375,6.956537617016037e-93,0.9733102999956182,0.09964322990330209,0.03594391845816874
frag.total,gs - p*k,457.0962107270434,555.3396912532854,5.423434108876512e-100,0.9746350729840468,0.09895786257962912,0.03684815429459158
frag.total,p * k + 1|Site,3313.2750562612487,119.68965202511662,0,0.8274266767349172,0.00499410478071823,0.406528614729299
frag.total,p + k + 1|Site,4623.329132510937,105.67492526122248,0,0.6770171849580099,0.00481337392572482,0.4076799020652716
